,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
712,"Learn Japanese, Korean, Chinese Offline & Free",EDUCATION,4.9,133136,26,1000000,Free,0.0,Everyone,Education;Education
8824,DS,FAMILY,4.9,15,23,100,Free,0.0,Everyone,Casual
8099,Doctor Finder CY,MEDICAL,4.9,57,6.1,1000,Free,0.0,Everyone,Medical
9528,Sanu Ek Pal Chain Song Videos - RAID Movie Songs,FAMILY,4.9,11,4.3,5000,Free,0.0,Everyone,Entertainment
3933,Hungry Hearts Diner: A Tale of Star-Crossed Souls,FAMILY,4.9,46253,56,500000,Free,0.0,Everyone 10+,Simulation
4359,M+,NEWS_AND_MAGAZINES,4.9,198,9.1,10000,Free,0.0,Everyone,News & Magazines
3602,White Noise for Baby,PARENTING,4.9,717,6.6,100000,Free,0.0,Everyone,Parenting
8550,Diabetes mellitus (DM) from zero to hero,MEDICAL,4.9,18,3.0,1000,Free,0.0,Everyone,Medical
9505,Duaa Ek Ibaadat,BOOKS_AND_REFERENCE,4.9,122,26,5000,Free,0.0,Everyone,Books & Reference
8990,News: DW Hausa,NEWS_AND_MAGAZINES,4.9,9,6.3,1000,Free,0.0,Everyone,News & Magazines
9500,Ek Onkar,FAMILY,4.9,107,18,10000,Free,0.0,Everyone,Entertainment
7638,Aquarium Co-Op Podcast,LIFESTYLE,4.9,206,3.9,1000,Free,0.0,Everyone,Lifestyle
9128,Tuberculose Dz,MEDICAL,4.9,26,6.1,1000,Free,0.0,Everyone,Medical
9073,KPS CHAUHAN DY/DX,FAMILY,4.9,37,10,100,Free,0.0,Everyone,Education
8256,DC Comics Amino,SOCIAL,4.9,117,63,1000,Free,0.0,Teen,Social
9625,JW Library,BOOKS_AND_REFERENCE,4.9,922752,Varies with device,10000000,Free,0.0,Everyone,Books & Reference
851,Sago Mini Hat Maker,EDUCATION,4.9,11,63,1000,Paid,3.99,Everyone,Education;Pretend Play
8336,DF-Server Mobile,PRODUCTIVITY,4.9,17,76,100,Free,0.0,Everyone,Productivity
9506,Ek Onkar Mantras,LIFESTYLE,4.9,82,5.0,5000,Free,0.0,Everyone,Lifestyle
618,FREE LIVE TALK,DATING,4.9,776,4.9,5000,Free,0.0,Mature 17+,Dating
9507,Alex Fuel Calculator for EK,TOOLS,4.9,19,3.3,500,Free,0.0,Everyone,Tools
4332,EXO-L Amino for EXO Fans,SOCIAL,4.9,5677,67,50000,Free,0.0,Teen,Social
4277,BTS j-hope LINE Launcher theme,PERSONALIZATION,4.9,934,3.8,10000,Free,0.0,Everyone,Personalization
9442,Aaj Bangla: ei samay er khobor,NEWS_AND_MAGAZINES,4.9,34,3.8,1000,Free,0.0,Everyone,News & Magazines
4304,K-Otic Universe,FAMILY,4.9,55,40,1000,Free,0.0,Everyone,Puzzle
4120,MHD F-Series,AUTO_AND_VEHICLES,4.9,73,23,1000,Free,0.0,Everyone,Auto & Vehicles
2344,Period Tracker,MEDICAL,4.9,100082,3.7,1000000,Free,0.0,Everyone,Medical
8157,Wallpaper.cz,PHOTOGRAPHY,4.9,7,2.2,100,Free,0.0,Everyone,Photography
6477,BM Pharmacy,HEALTH_AND_FITNESS,4.9,42,18,1000,Free,0.0,Everyone,Health & Fitness
9978,EV Calculator,TOOLS,4.9,85,19,1000,Free,0.0,Everyone,Tools
6690,Br Shafi,FAMILY,4.9,1288,26,10000,Free,0.0,Everyone,Education
10527,FK Željezničar,SPORTS,4.9,1420,20,10000,Free,0.0,Everyone,Sports
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14,1000000,Free,0.0,Everyone,Beauty
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21,50000,Free,0.0,Everyone,Books & Reference
6387,Official Madhuban Murli,LIFESTYLE,4.9,301,25,10000,Free,0.0,Everyone,Lifestyle
4975,Solitaire: Decked Out Ad Free,GAME,4.9,37302,35,500000,Free,0.0,Everyone,Card
6023,Tour BD (Bahir Dar Map),MAPS_AND_NAVIGATION,4.9,49,3.9,100,Free,0.0,Everyone,Maps & Navigation
10087,EY Forensics,FINANCE,4.9,7,3.4,1000,Free,0.0,Everyone,Finance
10552,FK Crvena zvezda,SPORTS,4.9,1211,15,10000,Free,0.0,Everyone,Sports
6048,BD Internet Package Activator,NEWS_AND_MAGAZINES,4.9,13,2.3,100,Free,0.0,Everyone,News & Magazines
1833,The Room: Old Sins,GAME,4.9,21119,48,100000,Paid,4.99,Everyone,Puzzle
7000,PixPanda - Color by Number Pixel Art Coloring Book,FAMILY,4.9,55723,14,1000000,Free,0.0,Everyone,Entertainment
6052,Be My Eyes - Helping the blind,LIFESTYLE,4.9,8418,21,500000,Free,0.0,Everyone,Lifestyle
10556,FK Željezničar Izzy,FAMILY,4.9,119,17,1000,Free,0.0,Everyone,Entertainment
6155,BG Future School,FAMILY,4.9,16,10,100,Free,0.0,Everyone,Education
6279,Business Intelligence & Data,FAMILY,4.9,7,3.5,1000,Free,0.0,Everyone,Education
10306,FD VR Music Videos - MTV Pop and Rap in 360,FAMILY,4.9,15,26,1000,Free,0.0,Everyone,Entertainment
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38,1000000,Free,0.0,Everyone,Auto & Vehicles
10254,FC Porto,SPORTS,4.9,15883,21,100000,Free,0.0,Everyone,Sports
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,100000,Free,0.0,Everyone,Auto & Vehicles
10258,Burnley FC,SPORTS,4.9,195,29,5000,Free,0.0,Everyone,Sports
6270,Sisense Mobile BI,BUSINESS,4.9,23,28,1000,Free,0.0,Everyone,Business
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,100000,Free,0.0,Everyone,Auto & Vehicles
10597,Canvas FL,FAMILY,4.9,36,9.4,1000,Free,0.0,Teen,Education
1260,Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337,13,10000000,Free,0.0,Everyone,Health & Fitness
6786,BT Church,LIFESTYLE,4.9,26,8.4,1000,Free,0.0,Teen,Lifestyle
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27,100000,Free,0.0,Everyone,Auto & Vehicles
1258,Lose Belly Fat in 30 Days - Flat Stomach,HEALTH_AND_FITNESS,4.9,38098,11,5000000,Free,0.0,Everyone,Health & Fitness
10280,Las Vegas Lights FC,SPORTS,4.9,10,14,500,Free,0.0,Everyone,Sports
6686,Br Browser,SOCIAL,4.9,29,2.5,500,Free,0.0,Everyone,Social
10016,Eddsworld Amino,SOCIAL,4.9,3071,63,10000,Free,0.0,Teen,Social
5308,AK Lodi Films,VIDEO_PLAYERS,4.9,23,2.1,100,Free,0.0,Everyone,Video Players & Editors
1336,Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12,500000,Free,0.0,Teen,Health & Fitness
7354,Legit Check App by Ch Daniel,LIFESTYLE,4.9,66,8.1,1000,Free,0.0,Everyone,Lifestyle
9828,Égalité et Réconciliation,NEWS_AND_MAGAZINES,4.9,58,3.8,500,Paid,2.99,Everyone,News & Magazines
10801,Fr Ignacio Outreach,FAMILY,4.9,52,19,1000,Free,0.0,Everyone,Education
5931,Sufara.ba,FAMILY,4.9,285,25,10000,Free,0.0,Everyone,Education
6495,Word Hunt,GAME,4.9,59,21,500,Free,0.0,Everyone,Word
6455,Business Mitra (BM),BUSINESS,4.9,13,5.3,100,Free,0.0,Everyone,Business
6459,BatControl Pro,TOOLS,4.9,83,3.1,500,Paid,3.99,Everyone,Tools
6462,"Borneo Bible, BM Bible",BOOKS_AND_REFERENCE,4.9,659,5.0,10000,Free,0.0,Everyone,Books & Reference
1019,Mummatikabalkuragi,EVENTS,4.9,69,0.334,1000,Free,0.0,Teen,Events
7336,FAV KWGT,PERSONALIZATION,4.9,88,66,1000,Paid,0.99,Everyone,Personalization
6441,BL Taxi,MAPS_AND_NAVIGATION,4.9,124,3.4,1000,Free,0.0,Everyone,Maps & Navigation
1307,StrongLifts 5x5 Workout Gym Log & Personal Trainer,HEALTH_AND_FITNESS,4.9,66791,10,1000000,Free,0.0,Everyone,Health & Fitness
9702,EP Horlogerie,LIFESTYLE,4.9,18,24,1000,Free,0.0,Everyone,Lifestyle
2475,Pediatric Nursing,MEDICAL,4.9,14,7.0,100,Free,0.0,Everyone,Medical
10363,FG On-The-Go,TOOLS,4.9,55,25,1000,Free,0.0,Everyone,Tools
2464,VetCode,MEDICAL,4.9,28,5.7,5000,Free,0.0,Everyone,Medical
5403,AO/OTA Fracture Classification,MEDICAL,4.9,25,46,5000,Free,0.0,Everyone,Medical
10412,FH App,BUSINESS,4.9,27,6.0,100,Free,0.0,Everyone,Business
1435,Prana Breath: Calm & Meditate,HEALTH_AND_FITNESS,4.8,31665,8.4,1000000,Free,0.0,Everyone,Health & Fitness
707,English Grammar Test,EDUCATION,4.8,4075,5.1,500000,Free,0.0,Everyone,Education
6474,Mobilight-BM,FINANCE,4.8,6,6.2,500,Free,0.0,Everyone,Finance
8444,Stop Smoking - EasyQuit free,HEALTH_AND_FITNESS,4.8,39068,4.0,500000,Free,0.0,Everyone,Health & Fitness
688,Online Girls Chat,DATING,4.8,5323,3.5,50000,Free,0.0,Mature 17+,Dating
5470,AP World History: Practice Tests and Flashcards,FAMILY,4.8,21,5.4,5000,Free,0.0,Everyone,Education
6392,BK murli today (Mobile Murli) - Gyan,FAMILY,4.8,100,4.5,5000,Free,0.0,Everyone,Education
6314,The Daily BJ,HEALTH_AND_FITNESS,4.8,38,24,500,Free,0.0,Everyone,Health & Fitness
6362,BK Murli Offline April 2017,LIFESTYLE,4.8,33,2.4,5000,Free,0.0,Everyone,Lifestyle
1360,Period Tracker - Period Calendar Ovulation Tracker,HEALTH_AND_FITNESS,4.8,4559407,Varies with device,100000000,Free,0.0,Everyone,Health & Fitness
1361,Period Tracker Clue: Period and Ovulation Tracker,HEALTH_AND_FITNESS,4.8,570242,20,10000000,Free,0.0,Everyone,Health & Fitness
5424,SofaScore Live Score,SPORTS,4.8,221722,Varies with device,10000000,Free,0.0,Everyone,Sports
6413,Chess of Blades (BL/Yaoi Game) (No VA),FAMILY,4.8,4,23,10,Paid,14.99,Teen,Casual
4293,K.MOJI,FAMILY,4.8,16,8.9,500,Paid,1.99,Everyone,Entertainment
8382,DG Fitness,HEALTH_AND_FITNESS,4.8,6,14,100,Free,0.0,Everyone,Health & Fitness
4292,KPOP Amino for K-Pop Entertainment,SOCIAL,4.8,19047,63,100000,Free,0.0,Teen,Social
6407,WebComics,COMICS,4.8,33783,6.4,1000000,Free,0.0,Teen,Comics
6388,Baba Yaad Hai?(BK's),FAMILY,4.8,160,13,10000,Free,0.0,Everyone,Entertainment
4290,K keyboard - Myanmar,TOOLS,4.8,1955,14,100000,Free,0.0,Everyone,Tools
687,Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9,10000,Free,0.0,Mature 17+,Dating
4834,Space Z 🌏 🚀Icon Pack Theme,PERSONALIZATION,4.8,201,68,1000,Paid,1.49,Everyone,Personalization
685,Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7,5000,Free,0.0,Mature 17+,Dating
8710,Faceoff DP Battle App,FAMILY,4.8,38,6.7,1000,Free,0.0,Everyone,Entertainment
6002,BD Briight: Your Diabetes Personal Assistant,MEDICAL,4.8,17,37,5000,Free,0.0,Everyone,Medical
2170,Hactar Go,FAMILY,4.8,97,3.5,1000,Paid,2.99,Everyone,Board;Brain Games
2172,World Racers family board game,FAMILY,4.8,4,42,100,Paid,0.99,Everyone,Board;Pretend Play
4038,"DU Recorder – Screen Recorder, Video Editor, Live",VIDEO_PLAYERS,4.8,2588730,9.7,50000000,Free,0.0,Everyone,Video Players & Editors
4029,C BOOK-C PROGRAMS,FAMILY,4.8,138,2.1,10000,Free,0.0,Everyone,Education
4025,C Prowess,FAMILY,4.8,306,3.3,5000,Free,0.0,Everyone,Education
4022,C Functions,FAMILY,4.8,55,1.5,1000,Free,0.0,Everyone,Education
4003,Neon Glow C - Icon Pack,PERSONALIZATION,4.8,557,74,10000,Paid,0.99,Everyone,Personalization
5969,"Town of Princeton, BC",PRODUCTIVITY,4.8,4,31,100,Free,0.0,Everyone,Productivity
3982,Cardi B Wallpaper,ART_AND_DESIGN,4.8,253,3.7,50000,Free,0.0,Everyone,Art & Design
5775,The Pursuit of God,BOOKS_AND_REFERENCE,4.8,6,1.6,1000,Free,0.0,Everyone,Books & Reference
5932,Elif Ba - Learn The Holy Quran,FAMILY,4.8,1491,38,50000,Free,0.0,Everyone,Education
5926,Learn alif ba ta,FAMILY,4.8,23,35,10000,Free,0.0,Everyone,Educational;Education
5815,INTERACTIVE CALCULUS FOR MATHS AND PHYSICS,FAMILY,4.8,53,4.4,1000,Free,0.0,Everyone,Education
2247,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,10000,Paid,6.99,Everyone,Medical
8843,DS-Students,FAMILY,4.8,5,8.4,100,Free,0.0,Everyone,Education
5895,Az Video Status,FAMILY,4.8,13,6.0,100,Free,0.0,Everyone,Entertainment
5888,Catalyst AZ,FAMILY,4.8,12,8.4,500,Free,0.0,Teen,Education
3903,CompTIA Exam Training,FAMILY,4.8,3053,17,50000,Free,0.0,Everyone,Education
6018,BD Fishpedia,BOOKS_AND_REFERENCE,4.8,123,6.5,1000,Free,0.0,Everyone,Books & Reference
2166,Pino chess,FAMILY,4.8,61,25,1000,Free,0.0,Everyone,Casual;Brain Games
6242,BH Challenge - Museum of the Jewish People,FAMILY,4.8,12,28,1000,Free,0.0,Everyone,Education
6159,BGKontakti Vienna BG Kontakti,SOCIAL,4.8,111,5.9,1000,Free,0.0,Everyone,Social
8459,Video Downloader - for Instagram Repost App,VIDEO_PLAYERS,4.8,332623,4.6,10000000,Free,0.0,Everyone,Video Players & Editors
1647,Nature Sounds,LIFESTYLE,4.8,28588,24,1000000,Free,0.0,Everyone,Lifestyle
8494,dk,FAMILY,4.8,5,1.5,10,Free,0.0,Everyone,Education
8503,DK Murali,SOCIAL,4.8,65,7.1,500,Free,0.0,Teen,Social
1447,"Viva Decora - Decoration, Photos, Architecture, House",HOUSE_AND_HOME,4.8,3167,7.5,100000,Free,0.0,Everyone,House & Home
4073,Eternium,FAMILY,4.8,1506783,89,10000000,Free,0.0,Teen,Role Playing
4310,"K-Spapp, the K-Space app",FAMILY,4.8,39,3.6,1000,Free,0.0,Everyone,Education
6183,Revita.bg,HEALTH_AND_FITNESS,4.8,10,4.0,10,Free,0.0,Everyone,Health & Fitness
6169,BG Metro - Red voznje,TRAVEL_AND_LOCAL,4.8,89,Varies with device,1000,Free,0.0,Everyone,Travel & Local
6144,BG+Phone Backup,PRODUCTIVITY,4.8,16,2.6,1000,Free,0.0,Everyone,Productivity
5649,Undertale AU Amino,SOCIAL,4.8,5369,63,50000,Free,0.0,Teen,Social
6129,BG Products,AUTO_AND_VEHICLES,4.8,4,4.5,500,Free,0.0,Everyone,Auto & Vehicles
6056,Be Stronger,HEALTH_AND_FITNESS,4.8,787,53,1000,Paid,1.99,Everyone,Health & Fitness
5704,Video Player All Format,VIDEO_PLAYERS,4.8,258277,Varies with device,10000000,Free,0.0,Everyone,Video Players & Editors
616,Live Chat - Free Video Chat Rooms,DATING,4.8,20,4.9,500,Free,0.0,Mature 17+,Dating
6046,Best Browser BD social networking,COMMUNICATION,4.8,6,21,10,Free,0.0,Everyone,Communication
614,FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT,DATING,4.8,84,4.5,1000,Free,0.0,Mature 17+,Dating
5733,Aw Restaurant,FAMILY,4.8,4,43,100,Free,0.0,Everyone,Casual
6019,BD Attendance,PRODUCTIVITY,4.8,93,14,1000,Free,0.0,Everyone,Productivity
6226,BH Patrole,AUTO_AND_VEHICLES,4.8,27,2.5,500,Free,0.0,Everyone,Auto & Vehicles
5330,Quran for All (Al-Huda Int.),FAMILY,4.8,6696,5.3,100000,Free,0.0,Everyone,Education
4316,Anna.K Tarot,FAMILY,4.8,17,23,100,Paid,3.99,Mature 17+,Entertainment
4714,BTS V Kim Taehyung Wallpapers Kpop HD New,PERSONALIZATION,4.8,51,3.4,5000,Free,0.0,Everyone,Personalization
4695,BTS V LINE Launcher theme,PERSONALIZATION,4.8,3283,3.6,100000,Free,0.0,Everyone,Personalization
7823,CS Interview Questions (TechQ),FAMILY,4.8,33,6.7,5000,Free,0.0,Everyone,Education
7837,DU CS Lectures - Learn to Code for Free,FAMILY,4.8,16,7.8,100,Free,0.0,Everyone,Education
4946,Flud (Ad free),VIDEO_PLAYERS,4.8,5639,Varies with device,10000,Paid,1.49,Everyone,Video Players & Editors
4663,Alarmy (Sleep If U Can) - Pro,LIFESTYLE,4.8,10249,Varies with device,10000,Paid,2.49,Everyone,Lifestyle
7125,Citizens Bank - CB Mobile,FINANCE,4.8,6,11,1000,Free,0.0,Everyone,Finance
7093,CA Speakers Free,LIFESTYLE,4.8,74,2.9,5000,Free,0.0,Teen,Lifestyle
7072,Park Limousine: Realistic Limo Parking Simulator,FAMILY,4.8,4,25,1000,Free,0.0,Everyone,Simulation
7037,BZ Reminder PRO,BUSINESS,4.8,726,5.4,1000,Paid,3.99,Everyone,Business
7889,CT-ART 4.0 (Chess Tactics 1200-2400 ELO),GAME,4.8,8191,Varies with device,100000,Free,0.0,Everyone,Board
7010,Pixyfy: coloring by number coloring book,FAMILY,4.8,22290,13,500000,Free,0.0,Everyone,Puzzle
5066,Rоhi.af,NEWS_AND_MAGAZINES,4.8,46,46,1000,Free,0.0,Everyone,News & Magazines
1820,"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85,10000000,Free,0.0,Everyone,Simulation
6960,Bitcoin & Cryptocurrency - Bx,FINANCE,4.8,11,3.7,1000,Free,0.0,Everyone,Finance
6930,Fantasy theme dark bw black building,ART_AND_DESIGN,4.8,41,1.9,5000,Free,0.0,Everyone,Art & Design
7899,Radiological Anatomy For FRCR1,MEDICAL,4.8,12,44,100,Paid,6.99,Everyone,Medical
6895,BW-Go,GAME,4.8,265,1.3,1000,Paid,3.49,Everyone,Board
1797,Wordscapes,GAME,4.8,230727,87,10000000,Free,0.0,Everyone,Word
1212,SarashpazPapion (Cooking with Chef Bowls),FOOD_AND_DRINK,4.8,1250,13,50000,Free,0.0,Everyone,Food & Drink
4938,Pocket AC,PHOTOGRAPHY,4.8,130,4.4,1000,Paid,9.99,Everyone,Photography
4895,Abs workout - 21 Day Fitness Challenge,HEALTH_AND_FITNESS,4.8,18604,15,1000000,Free,0.0,Everyone,Health & Fitness
7929,Firefighters First CU,FINANCE,4.8,495,12,5000,Free,0.0,Everyone,Finance
4891,30 Day AB Challenge - Lumowell,HEALTH_AND_FITNESS,4.8,793,40,10000,Free,0.0,Everyone,Health & Fitness
4844,ZArchiver Donate,TOOLS,4.8,1721,Varies with device,10000,Paid,2.5,Everyone,Tools
7398,CI Capital - Dynamic,FINANCE,4.8,4,5.1,50,Free,0.0,Everyone,Finance
1036,Emmabodafestivalen,EVENTS,4.8,12,29,1000,Free,0.0,Everyone 10+,Events
1044,Arab Halls - For Wedding & Events,EVENTS,4.8,28,6.3,1000,Free,0.0,Everyone,Events
7364,Pixxy KWGT,PERSONALIZATION,4.8,60,78,1000,Paid,0.99,Everyone,Personalization
7363,Sermon on Proverbs CH Spurgeon,GAME,4.8,35,3.1,10000,Free,0.0,Everyone,Trivia
4799,PewDiePie's Tuber Simulator,FAMILY,4.8,1499466,96,10000000,Free,0.0,Teen,Casual
7579,cm to inches | centimeters to inches conversion,TOOLS,4.8,52,1.9,5000,Free,0.0,Everyone,Tools
4862,Abs Workout - Burn Belly Fat with No Equipment,HEALTH_AND_FITNESS,4.8,69279,10,10000000,Free,0.0,Everyone,Health & Fitness
4759,X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4.8,1216,8.6,10000,Paid,1.99,Everyone,Art & Design
4866,"Abs, Core & Back Workout Challenge",HEALTH_AND_FITNESS,4.8,3908,33,100000,Free,0.0,Everyone,Health & Fitness
7218,Magana Jari ce Littafi Na Uku : Part 3 of 3,FAMILY,4.8,65,55,5000,Free,0.0,Everyone,Education
1092,"Even - organize your money, get paid early",FINANCE,4.8,12304,21,100000,Free,0.0,Everyone,Finance
7704,ClanPlay: Community and Tools for Gamers,COMMUNICATION,4.8,34443,27,1000000,Free,0.0,Teen,Communication
7707,Cp Calculator for Evolution:GO,FAMILY,4.8,124,2.5,500,Free,0.0,Everyone,Entertainment
7708,Calcy IV,TOOLS,4.8,36557,14,1000000,Free,0.0,Everyone,Tools
4880,"ABS Workout - Belly workout, 30 days AB",HEALTH_AND_FITNESS,4.8,5103,Varies with device,100000,Free,0.0,Everyone,Health & Fitness
4733,IRS W-9 form,BUSINESS,4.8,492,27,10000,Free,0.0,Everyone,Business
6847,Kristian Hla Bu,BOOKS_AND_REFERENCE,4.8,238,27,10000,Free,0.0,Everyone,Books & Reference
6820,sustainability@BU,LIFESTYLE,4.8,10,11,1000,Free,0.0,Everyone,Lifestyle
1268,Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15,1000000,Free,0.0,Everyone,Health & Fitness
2040,"No. Color - Color by Number, Number Coloring",FAMILY,4.8,269194,6.9,10000000,Free,0.0,Everyone,Entertainment;Brain Games
4483,Materialistic P Wallpapers,PERSONALIZATION,4.8,24,3.6,1000,Free,0.0,Everyone,Personalization
5277,Puppy Shooting an AK-47: Platformer Zombie Game,GAME,4.8,21,89,1000,Free,0.0,Everyone,Arcade
6707,Vlogger Go Viral - Tuber Game,FAMILY,4.8,1304467,68,10000000,Free,0.0,Everyone,Strategy
1274,Sleep Sounds,HEALTH_AND_FITNESS,4.8,51227,28,1000000,Free,0.0,Everyone,Health & Fitness
6691,Dr. B.R.Ambedkar,SOCIAL,4.8,1902,5.2,100000,Free,0.0,Everyone,Social
6680,QR Code Pro,PRODUCTIVITY,4.8,5865,15,100000,Paid,4.49,Everyone,Productivity
5829,AY Sing,BOOKS_AND_REFERENCE,4.8,111,10,5000,Free,0.0,Everyone,Books & Reference
5321,Al Quran (Tafsir & by Word),BOOKS_AND_REFERENCE,4.8,57400,14,500000,Free,0.0,Everyone,Books & Reference
6650,Bar-B-Q Recipes,FOOD_AND_DRINK,4.8,18,3.5,5000,Free,0.0,Everyone,Food & Drink
5323,Al Quran Indonesia,BOOKS_AND_REFERENCE,4.8,445756,16,10000000,Free,0.0,Everyone,Books & Reference
8171,The House of Da Vinci,FAMILY,4.8,12400,Varies with device,100000,Paid,4.99,Everyone,Puzzle
8172,Dan the Man: Action Platformer,GAME,4.8,528550,73,10000000,Free,0.0,Teen,Arcade
4403,Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133,59,1000,Paid,2.49,Everyone,Personalization
4390,Drag'n'Boom,GAME,4.8,133180,54,1000000,Free,0.0,Everyone 10+,Arcade
5339,Koran Read &MP3 30 Juz Offline,BOOKS_AND_REFERENCE,4.8,29551,67,1000000,Free,0.0,Everyone,Books & Reference
8238,DB for Hustle Castle,FAMILY,4.8,21,49,1000,Free,0.0,Everyone,Role Playing
2081,Fuzzy Seasons: Animal Forest,FAMILY,4.8,12137,63,100000,Free,0.0,Everyone 10+,Simulation;Pretend Play
1341,Relax Melodies P: Sleep Sounds,HEALTH_AND_FITNESS,4.8,19543,Varies with device,100000,Paid,2.99,Everyone,Health & Fitness
1267,30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.8,471036,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness
4615,The T Factor,EVENTS,4.8,48,13,1000,Free,0.0,Everyone,Events
1266,Sportractive GPS Running Cycling Distance Tracker,HEALTH_AND_FITNESS,4.8,48276,7.5,1000000,Free,0.0,Everyone,Health & Fitness
4585,Shopping List S PRO,SHOPPING,4.8,14,2.7,100,Paid,2.49,Everyone,Shopping
6802,Aegis BT,BUSINESS,4.8,16,4.5,500,Free,0.0,Everyone,Business
7993,2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6,3.5,100,Paid,1.49,Everyone,Communication
848,SoloLearn: Learn to Code for Free,EDUCATION,4.8,256079,7.6,1000000,Free,0.0,Teen,Education
6772,BT Find Address for Bluetooth,BUSINESS,4.8,8,2.6,5000,Free,0.0,Everyone,Business
5244,AJ Player,VIDEO_PLAYERS,4.8,18,1.7,100,Free,0.0,Everyone,Video Players & Editors
7997,CW Beacon for Ham Radio,COMMUNICATION,4.8,10,0.516,100,Paid,1.49,Everyone,Communication
8012,Morse Machine for Ham Radio,COMMUNICATION,4.8,341,9.6,5000,Paid,0.99,Everyone,Communication
5254,AJ Styles HD Wallpapers,ART_AND_DESIGN,4.8,48,25,5000,Free,0.0,Everyone,Art & Design
4556,Day R Premium,FAMILY,4.8,51068,57,100000,Paid,4.99,Teen,Role Playing
5257,AJ Gray Icon Pack,PERSONALIZATION,4.8,5,35,50,Paid,0.99,Everyone,Personalization
1256,Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15,10000000,Free,0.0,Everyone,Health & Fitness
4553,R File Manager,TOOLS,4.8,17,6.7,50,Free,0.0,Everyone,Tools
1259,Pedometer - Step Counter Free & Calorie Burner,HEALTH_AND_FITNESS,4.8,31139,6.9,1000000,Free,0.0,Everyone,Health & Fitness
1261,Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11,10000000,Free,0.0,Everyone,Health & Fitness
8077,go41cx,FAMILY,4.8,171,1.0,1000,Paid,10.0,Everyone,Education
8086,Cy-Reader,FAMILY,4.8,17,15,100,Free,0.0,Everyone,Education
4508,Q Avatar Pro,FAMILY,4.8,4,3.6,100,Paid,1.49,Teen,Entertainment
4487,Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16,5000,Paid,1.49,Everyone,Personalization
8850,dt Pro,FINANCE,4.8,4,4.5,1000,Free,0.0,Everyone,Finance
4883,7 minute abs workout - Daily Ab Workout,HEALTH_AND_FITNESS,4.8,527,23,100000,Free,0.0,Everyone,Health & Fitness
9853,Amino: Communities and Chats,SOCIAL,4.8,1264084,62,10000000,Free,0.0,Teen,Social
3615,Classical music for baby,PARENTING,4.8,1940,38,100000,Free,0.0,Everyone,Parenting;Music & Video
3600,How do I take care of my child?,PARENTING,4.8,190,6.8,100000,Free,0.0,Everyone,Parenting
10767,NFP 2018,EVENTS,4.8,8,16,500,Free,0.0,Everyone,Events
9499,Ek Maratha,SOCIAL,4.8,725,3.7,10000,Free,0.0,Teen,Social
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17,500000,Free,0.0,Everyone,Auto & Vehicles
10531,Kernel Manager for Franco Kernel ✨,TOOLS,4.8,12700,10,100000,Paid,3.49,Everyone,Tools
3604,The first year of a baby's life,PARENTING,4.8,7505,9.1,100000,Free,0.0,Everyone,Parenting
10373,FG VOC,BUSINESS,4.8,6,7.7,1000,Free,0.0,Everyone,Business
8915,Du Chinese – Mandarin Lessons,FAMILY,4.8,3390,9.2,100000,Free,0.0,Everyone,Education
73,PDD-UA,AUTO_AND_VEHICLES,4.8,736,Varies with device,100000,Free,0.0,Everyone,Auto & Vehicles
3000,The 5th Stand,SPORTS,4.8,1664,17,100000,Free,0.0,Everyone,Sports
291,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39,100000,Paid,4.99,Everyone,Business
10637,Gainesville Florida Police Department,LIFESTYLE,4.8,4,15,500,Free,0.0,Everyone,Lifestyle
196,Job Search by ZipRecruiter,BUSINESS,4.8,148945,25,1000000,Free,0.0,Everyone,Business
